fullmove_number;san;lan;move_count;score;best_move_score_diff;best_move_score_diff_category;best_move;best_move_score;is_check;is_capture;pawnending;rookending;attackers_count;is_capture_count;is_castling;next_move_count
1;e4;e2-e4;20;47;12;0;e4;35;False;False;False;False;0;0;False;20
1;e5;e7-e5;20;94;25;1;e6;69;False;False;False;False;0;0;False;29
2;Nf3;Ng1-f3;29;39;1;0;Nf3;38;False;False;False;False;1;0;False;29
2;Nc6;Nb8-c6;29;89;2;1;d6;87;False;False;False;False;0;1;False;27
3;Bb5;Bf1-b5;27;60;18;0;Bb5;42;False;False;False;False;2;0;False;30
3;a6;a7-a6;30;120;27;1;Nd4;93;False;False;False;False;1;3;False;32
4;Ba4;Bb5-a4;32;30;5;0;Ba4;35;False;False;False;False;2;0;False;32
4;Nf6;Ng8-f6;32;56;14;0;Nf6;70;False;False;False;False;1;2;False;27
5;O-O;O-O;27;3;33;0;O-O;36;False;False;False;False;2;1;True;30
5;Be7;Bf8-e7;30;87;48;2;Nxe4;39;False;False;False;False;1;2;False;25
6;Re1;Rf1-e1;25;-12;49;2;Nc3;37;False;False;False;False;2;1;False;30
6;b5;b7-b5;30;55;30;0;b5;85;False;False;False;False;2;2;False;25
7;Bb3;Ba4-b3;25;29;19;0;Bb3;48;False;False;False;False;2;1;False;30
7;d6;d7-d6;30;87;40;2;d6;47;False;False;False;False;1;2;False;27
8;c3;c2-c3;27;0;27;1;Nc3;27;False;False;False;False;2;1;False;33
8;O-O;O-O;33;47;3;0;O-O;50;False;False;False;False;1;2;True;27
9;h3;h2-h3;27;12;13;0;h3;25;False;False;False;False;2;2;False;30
9;Bb7;Bc8-b7;30;65;2;0;Bb7;63;False;False;False;False;1;2;False;28
10;d4;d2-d4;28;50;38;0;d4;12;False;False;False;False;3;3;False;29
10;Re8;Rf8-e8;29;107;20;1;Qd7;87;False;False;False;False;3;3;False;36
11;Nbd2;Nb1-d2;36;54;15;0;Nbd2;39;False;False;False;False;3;3;False;29
11;Bf8;Be7-f8;29;87;5;1;Na5;82;False;False;False;False;3;3;False;30
12;a4;a2-a4;30;27;6;1;a3;33;False;False;False;False;4;4;False;32
12;h6;h7-h6;32;59;38;1;exd4;21;False;False;False;False;4;4;False;32
13;Bc2;Bb3-c2;32;-5;22;1;d5;17;False;False;False;False;3;4;False;33
13;exd4;e5xd4;33;45;8;0;exd4;53;False;True;False;False;4;3;False;32
14;cxd4;c3xd4;32;-16;37;1;Nxd4;21;False;True;False;False;1;4;False;35
14;Nb4;Nc6-b4;35;35;6;0;Nb4;29;False;False;False;False;5;1;False;29
15;Bb1;Bc2-b1;29;-13;12;0;Bb1;-1;False;False;False;False;1;4;False;37
15;c5;c7-c5;37;92;31;1;g6;61;False;False;False;False;5;2;False;30
16;d5;d4-d5;30;0;25;0;d5;25;False;False;False;False;1;6;False;37
16;Nd7;Nf6-d7;37;105;55;2;g6;50;False;False;False;False;4;1;False;29
17;Ra3;Ra1-a3;29;-16;66;2;Nf1;50;False;False;False;False;1;4;False;39
17;c4;c5-c4;39;44;18;0;c4;26;False;False;False;False;4;2;False;33
18;Nd4;Nf3-d4;33;-16;8;0;Nd4;-8;False;False;False;False;3;4;False;40
18;Qf6;Qd8-f6;40;38;4;1;Qb6;42;False;False;False;False;6;3;False;44
19;N2f3;Nd2-f3;44;0;23;0;N2f3;-23;False;False;False;False;3;6;False;43
19;Nc5;Nd7-c5;43;48;36;0;Nc5;12;False;False;False;False;8;3;False;44
20;axb5;a4xb5;44;-56;56;2;b3;0;False;True;False;False;3;7;False;45
20;axb5;a6xb5;45;-21;21;0;axb5;0;False;True;False;False;7;3;False;48
21;Nxb5;Nd4xb5;48;-37;0;1;b3;-37;False;True;False;False;3;7;False;52
21;Rxa3;Ra8xa3;52;20;1;0;Rxa3;19;False;True;False;False;7;4;False;39
22;Nxa3;Nb5xa3;39;-41;23;1;bxa3;-64;False;True;False;False;2;6;False;46
22;Ba6;Bb7-a6;46;52;15;0;Ba6;37;False;False;False;False;5;2;False;35
23;Re3;Re1-e3;35;-8;7;0;Re3;-15;False;False;False;False;1;5;False;43
23;Rb8;Re8-b8;43;4;10;0;Rb8;14;False;False;False;False;4;1;False;36
24;e5;e4-e5;36;-16;23;1;Rc3;7;False;False;False;False;3;4;False;39
24;dxe5;d6xe5;39;-25;8;0;dxe5;-17;False;True;False;False;2;3;False;42
25;Nxe5;Nf3xe5;42;-53;33;0;Nxe5;-20;False;True;False;False;3;3;False;43
25;Nbd3;Nb4-d3;43;146;180;3;Ncd3;-34;False;False;False;False;7;7;False;43
26;Ng4;Ne5-g4;43;-116;116;3;Qc2;0;False;False;False;False;6;6;False;51
26;Qb6;Qf6-b6;51;28;42;2;Qd4;-14;False;False;False;False;4;5;False;40
27;Rg3;Re3-g3;40;-29;7;1;Qc2;-36;False;False;False;False;6;4;False;45
27;g6;g7-g6;45;0;10;1;Ne4;-10;False;False;False;False;4;6;False;37
28;Bxh6;Bc1xh6;37;-194;125;3;Nxc4;-69;False;True;False;False;5;4;False;44
28;Qxb2;Qb6xb2;44;-180;111;3;Qxb2;-69;False;True;False;False;5;5;False;37
29;Qf3;Qd1-f3;37;-200;12;1;Qd2;-212;False;False;False;False;5;5;False;54
29;Nd7;Nc5-d7;54;-75;33;1;Rb6;-42;False;False;False;False;6;5;False;31
30;Bxf8;Bh6xf8;31;0;128;3;Bxf8;-128;False;True;False;False;4;7;False;52
30;Kxf8;Kg8xf8;52;0;0;1;Qc1+;0;False;True;False;False;4;4;False;25
31;Kh2;Kg1-h2;25;-46;112;3;Kh2;-158;False;False;False;False;4;4;False;51
31;Rb3;Rb8-b3;51;64;64;2;Qc1;0;False;False;False;False;5;4;False;23
32;Bxd3;Bb1xd3;23;11;8;0;Bxd3;19;False;True;False;False;4;5;False;40
32;cxd3;c4xd3;40;58;17;1;Rxd3;41;False;True;False;False;3;2;False;21
33;Qf4;Qf3-f4;21;34;25;0;Qf4;9;False;False;False;False;2;3;False;39
33;Qxa3;Qb2xa3;39;856;787;4;d2;69;False;True;False;False;0;2;False;30
34;Nh6;Ng4-h6;30;910;44;2;Nh6;954;False;False;False;False;4;0;False;34
34;Qe7;Qa3-e7;34;1050;52;2;f6;998;False;False;False;False;0;4;False;34
35;Rxg6;Rg3xg6;34;1127;113;3;Rxg6;1014;False;True;False;False;3;0;False;37
35;Qe5;Qe7-e5;37;1125;14;0;Qe5;1139;False;False;False;False;3;3;False;25
36;Rg8+;Rg6-g8+;25;1139;25;0;Rg8+;1114;True;False;False;False;4;0;False;1
36;Ke7;Kf8-e7;1;1112;0;0;-;0;False;False;False;False;2;2;False;25
37;d6+;d5-d6+;25;1173;39;0;d6+;1134;True;False;False;False;4;2;False;3
37;Ke6;Ke7-e6;3;1169;11;0;Ke6;1180;False;False;False;False;3;2;False;24
38;Re8+;Rg8-e8+;24;1189;0;0;Re8+;1189;True;False;False;False;4;1;False;2
38;Kd5;Ke6-d5;2;1177;7;0;Kd5;1184;False;False;False;False;4;3;False;23
39;Rxe5+;Re8xe5+;23;1183;3;0;Rxe5+;1180;True;True;False;False;3;2;False;3
39;Nxe5;Nd7xe5;3;1168;8;2;Nxe5;1176;False;True;False;False;1;3;False;29
40;d7;d6-d7;29;1176;43;0;d7;1133;False;False;False;False;3;1;False;26
