fullmove_number;san;lan;move_count;score;best_move_score_diff;best_move_score_diff_category;best_move;best_move_score;is_check;is_capture;pawnending;rookending;attackers_count;is_capture_count;is_castling;next_move_count
1;d4;d2-d4;20;1;29;1;e4;30;False;False;False;False;0;0;False;20
1;Nf6;Ng8-f6;20;45;11;1;d5;56;False;False;False;False;0;0;False;28
2;c4;c2-c4;28;14;9;1;Nf3;5;False;False;False;False;0;0;False;22
2;g6;g7-g6;22;96;64;2;e6;32;False;False;False;False;0;0;False;30
3;Nc3;Nb1-c3;30;80;29;0;Nc3;51;False;False;False;False;0;0;False;23
3;d5;d7-d5;23;84;5;0;d5;79;False;False;False;False;1;2;False;33
4;Nf3;Ng1-f3;33;16;25;1;cxd5;41;False;False;False;False;2;1;False;31
4;Bg7;Bf8-g7;31;80;13;0;Bg7;67;False;False;False;False;1;2;False;35
5;cxd5;c4xd5;35;29;22;1;Qb3;51;False;True;False;False;0;2;False;35
5;Nxd5;Nf6xd5;35;65;0;0;Nxd5;65;False;True;False;False;2;1;False;33
6;e4;e2-e4;33;46;11;0;e4;35;False;False;False;False;2;2;False;39
6;Nxc3;Nd5xc3;39;94;4;0;Nxc3;90;False;True;False;False;5;1;False;35
7;bxc3;b2xc3;35;48;17;0;bxc3;31;False;True;False;False;0;2;False;35
7;c5;c7-c5;35;103;11;1;O-O;92;False;False;False;False;3;1;False;37
8;Be3;Bc1-e3;37;2;47;2;Be2;49;False;False;False;False;1;3;False;38
8;Qa5;Qd8-a5;38;82;13;0;Qa5;69;False;False;False;False;4;1;False;37
9;Qd2;Qd1-d2;37;1;33;1;Nd2;34;False;False;False;False;1;4;False;41
9;Nc6;Nb8-c6;41;37;10;1;O-O;47;False;False;False;False;5;1;False;35
10;Rc1;Ra1-c1;35;-19;41;2;Bd3;22;False;False;False;False;1;5;False;44
10;cxd4;c5xd4;44;32;10;0;cxd4;42;False;True;False;False;4;4;False;36
11;cxd4;c3xd4;36;0;15;0;cxd4;-15;False;True;False;False;2;4;False;49
11;Qxd2+;Qa5xd2+;49;10;15;0;Qxd2+;25;True;True;False;False;8;3;False;3
12;Kxd2;Ke1xd2;3;-9;9;0;Kxd2;0;False;True;False;False;1;2;False;34
12;O-O;O-O;34;70;8;1;f5;62;False;False;False;False;2;1;True;37
13;d5;d4-d5;37;-3;23;1;Bd3;20;False;False;False;False;3;0;False;34
13;Rd8;Rf8-d8;34;22;4;0;Rd8;26;False;False;False;False;1;2;False;41
14;Ke1;Kd2-e1;41;9;21;0;Ke1;-12;False;False;False;False;3;1;False;38
14;Ne5;Nc6-e5;38;80;65;2;Nb4;15;False;False;False;False;2;3;False;40
15;Nxe5;Nf3xe5;40;16;6;1;h4;22;False;True;False;False;4;2;False;28
15;Bxe5;Bg7xe5;28;62;7;0;Bxe5;69;False;True;False;False;2;2;False;36
16;f4;f2-f4;36;24;27;1;h4;51;False;False;False;False;3;2;False;35
16;Bd6;Be5-d6;35;62;1;0;Bd6;61;False;False;False;False;1;2;False;35
