fullmove_number;ply_number;turn;san;lan;score;score_change;score_change_category;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;possible_moves_quality;captures;is_capture_count;is_capture_weighted;attackers_white;attackers_count_white;attacked_pieces_white;attacked_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;attacked_guarded_pieces_white;attacked_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;threats_count_white;forking_pieces_white;fork_count_white;pin_count_white;skewer_count_white;attackers_black;attackers_count_black;attacked_pieces_black;attacked_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;attacked_guarded_pieces_black;attacked_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;threats_count_black;forking_pieces_black;fork_count_black;pin_count_black;skewer_count_black;attackers_centipawn_white;attacked_pieces_centipawn_white;guards_centipawn_white;guarded_pieces_centipawn_white;attacked_guarded_pieces_centipawn_white;unopposed_threats_centipawn_white;threats_centipawn_white;attackers_centipawn_black;attacked_pieces_centipawn_black;guards_centipawn_black;guarded_pieces_centipawn_black;attacked_guarded_pieces_centipawn_black;unopposed_threats_centipawn_black;threats_centipawn_black;attackers_count_all;attacked_pieces_count_all;guards_count_all;guarded_pieces_count_all;attacked_guarded_pieces_count_all;unopposed_threats_count_all;threats_count_all;fork_count_all;pin_count_all;skewer_count_all;attacked_pieces_centipawn_all;guarded_pieces_centipawn_all;attacked_guarded_pieces_centipawn_all;unopposed_threats_centipawn_all;threats_centipawn_all;attack_defense_relation1;attack_defense_relation2;material;pawn_ending;rook_ending
1;1;True;e4;e2-e4;36;36;0.5625;20;c7c5;12;24;0;False;False;False;20;0.0;;0;0;;0;;0;h1, f1, e1, b1, c1, d1, e1, d1, c1, a1, h1, e1, d1, e1, d1, a1;16;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;0;;0;0;0;;0;;0;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, b8, c8, d8, e8, d8, c8, a8;20;a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;0;;0;0;0;0;0;6800;2800;0;0;0;0;0;8300;2900;0;0;0;0;0;36;27;0;0;0;0;0;0;0;5700;0;0;0;0;-1600;0;False;False
1;2;False;c6;c7-c6;100;64;1.0;20;d2d4;62;38;1;False;False;False;30;0.0;;0;0;;0;;0;h1, f1, e1, b1, c1, d1, e1, d1, c1, a1, h1, e1, d1, e1, d1, a1;16;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;0;;0;0;0;;0;;0;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, b8, c8, d8, e8, c8, a8, b7, d7, b8;22;c6, a7, b7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;0;;0;0;0;0;0;6800;2800;0;0;0;0;0;7900;2900;0;0;0;0;0;38;27;0;0;0;0;0;0;0;5700;0;0;0;0;-1200;0;False;False
2;3;True;d4;d2-d4;38;62;0.96875;30;d7d5;44;6;0;False;False;False;21;0.0;;0;0;;0;;0;d1, h1, f1, e1, d1, c1, a1, h1, e1, d1, e1, d1, a1;13;b1, c1, d1, e1, f1, g1, a2, b2, c2, f2, g2, h2, d4;13;;0;;0;0;;0;0;0;;0;;0;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, b8, c8, d8, e8, c8, a8, b7, d7, b8;22;c6, a7, b7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;0;;0;0;0;0;0;6200;2800;0;0;0;0;0;7900;2900;0;0;0;0;0;35;27;0;0;0;0;0;0;0;5700;0;0;0;0;-1800;0;False;False
2;4;False;d5;d7-d5;109;71;1.109375;21;e4e5;92;17;0;False;False;False;38;0.02631578947368421;d5;1;0;d5;1;e4;1;d1, h1, f1, e1, d1, c1, a1, h1, e1, d1, e1, d1, a1;13;b1, c1, d1, e1, f1, g1, a2, b2, c2, f2, g2, h2, d4;13;;0;e4;1;1;;0;0;0;e4;1;d5;1;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, c8, a8, b7, b8, c6, d8;19;d5, c6, a7, b7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;d5;1;;0;0;;0;0;0;100;100;6200;2800;0;100;100;100;100;7300;2900;100;0;0;2;2;32;27;1;1;1;0;0;0;200;5700;100;100;100;-1100;-1200;0;False;False
3;5;True;Nc3;Nb1-c3;50;59;0.921875;38;e7e6;66;16;1;False;False;False;29;0.0;e4;1;0;d5;1;e4;1;c3, d1, b2, h1, f1, e1, d1, c1, a1, c3, h1, e1, d1, e1, c3, a1, d1;17;c1, d1, e1, f1, g1, a2, b2, c2, f2, g2, h2, c3, d4, e4;14;e4;1;;0;0;;0;0;0;c3, e4;2;d5;1;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, c8, a8, b7, b8, c6, d8;19;d5, c6, a7, b7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;d5;1;;0;0;;0;0;0;100;100;7200;2900;100;0;0;400;100;7300;2900;100;0;0;3;2;36;28;2;0;0;0;0;0;200;5800;200;0;0;-400;200;0;False;False
3;6;False;dxe4;d5xe4;66;16;0.25;29;c3e4;105;39;1;False;True;False;39;0.02564102564102564;e4;1;0;d8;1;d4;1;d1, b2, h1, f1, e1, d1, c1, a1, c3, h1, e1, d1, e1, c3, a1, d1;16;c1, d1, e1, f1, g1, a2, b2, c2, f2, g2, h2, c3, d4;13;d4;1;;0;0;;0;0;0;c3;1;e4;1;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, c8, a8, b7, b8;17;c6, a7, b7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;e4;1;1;;0;1;0;900;100;6900;2800;100;0;0;300;100;6300;2800;0;100;100;2;2;33;26;1;1;1;0;1;0;200;5600;100;100;-100;400;0;-100;False;False
4;7;True;Nxe4;Nc3xe4;60;6;0.09375;39;g8f6;58;2;0;False;True;False;30;0.03333333333333333;d4;1;0;d8;1;d4;1;d1, h1, f1, e1, e4, d1, c1, a1, h1, e1, d1, e1, a1, d1;14;c1, d1, e1, f1, g1, a2, b2, c2, f2, g2, h2, d4;12;d4;1;;0;0;;0;0;0;;0;;0;h8, e8, d8, e8, d8, a8, h8, f8, e8, d8, e8, f8, g8, c8, a8, b7, b8;17;c6, a7, b7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;;0;0;;0;1;0;900;100;6500;2500;100;0;0;0;0;6300;2800;0;0;0;1;1;31;25;1;0;0;0;1;0;100;5300;100;0;0;0;-1100;0;False;False
4;8;False;Nd7;Nb8-d7;156;96;1.5;30;c2c3;111;45;1;False;False;False;42;0.0;;0;0;;0;;0;d1, h1, f1, e1, e4, d1, c1, a1, h1, e1, d1, e1, a1, d1;14;c1, d1, e1, f1, g1, a2, b2, c2, f2, g2, h2, d4;12;;0;;0;0;;0;0;0;;0;;0;h8, d7, e8, d8, e8, a8, d8, h8, f8, e8, d8, e8, f8, g8, c8, d8, e8, c8, a8, b7;20;c6, a7, b7, d7, e7, f7, g7, h7, c8, d8, e8, f8, g8;13;;0;;0;0;;0;0;0;0;0;6500;2500;0;0;0;0;0;7500;2800;0;0;0;0;0;34;25;0;0;0;0;0;0;0;5300;0;0;0;0;-1300;0;False;False
5;9;True;Bc4;Bf1-c4;11;145;2.265625;42;g8f6;73;62;2;False;False;False;24;0.041666666666666664;;0;0;;0;;0;d1, h1, e1, e4, d1, c1, a1, c4, h1, d1, e1, a1, d1;13;c1, d1, e1, g1, a2, b2, c2, f2, h2, d4;10;;0;;0;0;;0;1;0;c4;1;f7;1;h8, d7, e8, d8, e8, a8, d8, h8, f8, e8, d8, e8, f8, g8, c8, d8, e8, c8, a8, b7;20;c6, a7, b7, d7, e7, f7, g7, h7, c8, d8, e8, f8, g8;13;f7;1;;0;0;;0;0;0;0;0;6500;2100;0;0;0;300;100;7500;2800;100;0;0;1;1;33;23;1;0;0;0;1;0;100;4900;100;0;0;300;-1300;0;False;False
5;10;False;Ngf6;Ng8-f6;82;71;1.109375;24;e4f6;88;6;0;False;False;False;46;0.021739130434782608;f6, f7;2;0;f6;1;e4;1;d1, h1, e1, e4, d1, c1, a1, c4, h1, d1, e1, a1, d1;13;c1, d1, e1, g1, a2, b2, c2, f2, h2, d4;10;;0;e4;1;1;;0;0;0;c4, e4;2;f6, f7;2;d7, e8, h8, f6, d8, e8, a8, d8, f6, h8, f8, e8, d8, e8, f8, f6, c8, d8, e8, c8, a8, d7, e7, g7, b7;25;c6, f6, a7, b7, d7, e7, f7, g7, h7, c8, d8, e8, f8;13;f7, f6;2;;0;0;;0;0;0;300;300;6500;2100;0;300;300;600;400;8600;2800;400;0;0;3;3;38;23;2;1;1;0;0;0;700;4900;400;300;300;-500;-2400;0;False;False
